expected_intent,predicted_intent,count,percentage_of_errors
CONNECTIVITY_WIFI_BLUETOOTH,APP_CRASH_AND_DOWNLOAD,2,0.4
HOW_TO_SETTINGS_CONFIGURATION,ACCOUNT_APPLEID_ICLOUD,2,0.4
APP_STORE_PURCHASES_BILLING,HOW_TO_SETTINGS_CONFIGURATION,2,0.4
AUDIO_SOUND_SPEAKER,CONNECTIVITY_WIFI_BLUETOOTH,2,0.4
CONNECTIVITY_WIFI_BLUETOOTH,HOW_TO_SETTINGS_CONFIGURATION,1,0.2
ACCOUNT_APPLEID_ICLOUD,AUDIO_SOUND_SPEAKER,1,0.2
BATTERY_CHARGING_POWER,APP_CRASH_AND_DOWNLOAD,1,0.2
KEYBOARD_TYPING_AUTOCORRECT,APP_CRASH_AND_DOWNLOAD,1,0.2
KEYBOARD_TYPING_AUTOCORRECT,HOW_TO_SETTINGS_CONFIGURATION,1,0.2
KEYBOARD_TYPING_AUTOCORRECT,BATTERY_CHARGING_POWER,1,0.2
HOW_TO_SETTINGS_CONFIGURATION,BATTERY_CHARGING_POWER,1,0.2
CONNECTIVITY_WIFI_BLUETOOTH,DISPLAY_TOUCH_SCREEN,1,0.2
DISPLAY_TOUCH_SCREEN,KEYBOARD_TYPING_AUTOCORRECT,1,0.2
APP_STORE_PURCHASES_BILLING,AUDIO_SOUND_SPEAKER,1,0.2
KEYBOARD_TYPING_AUTOCORRECT,CONNECTIVITY_WIFI_BLUETOOTH,1,0.2
APP_CRASH_AND_DOWNLOAD,DISPLAY_TOUCH_SCREEN,1,0.2
APP_CRASH_AND_DOWNLOAD,HOW_TO_SETTINGS_CONFIGURATION,1,0.2
AUDIO_SOUND_SPEAKER,BATTERY_CHARGING_POWER,1,0.2
HOW_TO_SETTINGS_CONFIGURATION,APP_CRASH_AND_DOWNLOAD,1,0.2
APP_STORE_PURCHASES_BILLING,ACCOUNT_APPLEID_ICLOUD,1,0.2
APP_CRASH_AND_DOWNLOAD,CONNECTIVITY_WIFI_BLUETOOTH,1,0.2
AUDIO_SOUND_SPEAKER,KEYBOARD_TYPING_AUTOCORRECT,1,0.2
APP_CRASH_AND_DOWNLOAD,BATTERY_CHARGING_POWER,1,0.2
APP_STORE_PURCHASES_BILLING,APP_CRASH_AND_DOWNLOAD,1,0.2
