Metric,FAISS Baseline,FAISS + Cross-Encoder,Improvement,Notes
Recall@1,58.37%,56.77%,-1.60 percentage points,Primary top-1 retrieval hit rate
Recall@3,78.72%,78.72%,+0.00 percentage points,Identical candidate pool (re-ranking top-3 preserves recall@3)
Recall@5,85.87%,N/A (Top-3 Reranker),N/A,First-stage FAISS candidate pool constrained to K=3
Recall@10,92.18%,N/A (Top-3 Reranker),N/A,First-stage FAISS candidate pool constrained to K=3
MRR (Mean Reciprocal Rank),0.7002,0.6658,-0.0344,Ranking quality across top-3 candidates
Top-1 Intent Accuracy,58.37%,56.77%,-1.60 percentage points,Mathematically equivalent to Recall@1 in single-intent evaluation
Average Latency / Query,0.45 ms (vector search),100.22 ms,+99.77 ms overhead,PyTorch CPU forward pass on 3 pairs
